	Unnamed: 0	lemme	freqlemlivres	freqlemlivres_cumsum	freqlemlivres_cumsumpercent
356	23737	cheveu	270.68	642976.5599999997	64.29765599999998
357	76895	lieu	267.57	643244.1299999997	64.32441299999996
358	14292	besoin	266.62	643510.7499999997	64.35107499999997
359	104078	quel	265.34	643776.0899999996	64.37760899999996
360	131032	travail	263.45	644039.5399999996	64.40395399999996
361	32261	courir	263.38	644302.9199999996	64.43029199999995
362	122321	sourire	262.91	644565.8299999996	64.45658299999997
363	61334	garçon	262.5	644828.3299999996	64.48283299999996
364	104747	raconter	261.89	645090.2199999996	64.50902199999996
365	38425	dormir	259.05	645349.2699999997	64.53492699999997
366	51790	envie	258.11	645607.3799999997	64.56073799999997
367	81671	mer	257.57	645864.9499999996	64.58649499999996
368	61138	garder	257.5	646122.4499999996	64.61224499999996
369	38134	doigt	256.15	646378.5999999996	64.63785999999996
370	82514	milieu	256.08	646634.6799999996	64.66346799999995
371	76566	lettre	256.01	646890.6899999996	64.68906899999996
372	2706	affaire	253.38	647144.0699999996	64.71440699999997
373	126658	ta	251.69	647395.7599999995	64.73957599999996
374	56613	fils	247.64	647643.3999999996	64.76433999999996
375	131091	travers	247.64	647891.0399999996	64.78910399999995
376	22798	changer	246.49	648137.5299999996	64.81375299999996
377	104081	quelle	244.39	648381.9199999996	64.83819199999996
378	93623	pays	241.55	648623.4699999996	64.86234699999996
379	27151	comment	241.35	648864.8199999996	64.88648199999996
380	68207	imaginer	241.15	649105.9699999996	64.91059699999997
381	11049	autant	240.41	649346.3799999997	64.93463799999996
382	33125	crier	239.73	649586.1099999996	64.95861099999996
383	130020	tous	238.72	649824.8299999996	64.98248299999996
384	64975	général	236.89	650061.7199999996	65.00617199999996
385	56109	feu	236.15	650297.8699999996	65.02978699999997
386	90311	ordre	235.34	650533.2099999996	65.05332099999997
387	47880	expliquer	233.92	650767.1299999997	65.07671299999997
388	96656	plaisir	233.85	651000.9799999996	65.10009799999996
389	89675	ombre	233.45	651234.4299999996	65.12344299999995
390	7085	apercevoir	233.11	651467.5399999996	65.14675399999996
391	23572	chemin	231.42	651698.9599999996	65.16989599999997
392	135017	verre	230.07	651929.0299999996	65.19290299999996
393	62220	glisser	229.32	652158.3499999995	65.21583499999996
394	106680	reconnaître	229.19	652387.5399999996	65.23875399999993
395	15975	bord	228.11	652615.6499999993	65.26156499999995
396	4098	ajouter	224.66	652840.3099999995	65.28403099999993
397	107064	recevoir	224.46	653064.7699999993	65.30647699999993
398	78516	lèvre	222.03	653286.7999999996	65.32867999999995
399	74127	jambe	220.95	653507.7499999994	65.35077499999993
400	24946	cinq	220.61	653728.3599999994	65.37283599999994
401	134789	vent	220.27	653948.6299999994	65.39486299999993
402	89145	occuper	219.8	654168.4299999996	65.41684299999993
403	3389	agir	219.73	654388.1599999996	65.43881599999995
404	127966	tendre	218.38	654606.5399999996	65.46065399999995
405	141608	état	218.18	654824.7199999995	65.48247199999993
406	119603	sens	217.5	655042.2199999995	65.50422199999996
407	137754	âge	217.43	655259.6499999996	65.52596499999996
408	21541	cas	217.36	655477.0099999995	65.54770099999996
409	59752	frère	216.35	655693.3599999995	65.56933599999995
410	52353	esprit	216.28	655909.6399999995	65.59096399999996
411	117815	salle	215.81	656125.4499999996	65.61254499999995
412	122680	souvenir	215.41	656340.8599999996	65.63408599999997
413	122346	sourire	215.34	656556.1999999996	65.65561999999996
414	40491	décider	214.19	656770.3899999995	65.67703899999995
415	38494	dos	213.99	656984.3799999995	65.69843799999995
416	89400	offrir	213.99	657198.3699999995	65.71983699999996
417	58170	fort	212.77	657411.1399999995	65.74111399999995
418	48663	en	212.09	657623.2299999995	65.76232299999995
419	98624	possible	211.96	657835.1899999995	65.78351899999993
420	92846	partie	211.49	658046.6799999996	65.80466799999995
421	104315	quoi	210.88	658257.5599999995	65.82575599999993
422	37986	dix	209.86	658467.4199999996	65.84674199999995
423	94642	personne	209.8	658677.2199999995	65.86772199999993
424	75467	l'un	208.92	658886.1399999995	65.88861399999996
425	8153	arbre	208.58	659094.7199999995	65.90947199999995
426	27983	compte	208.38	659303.0999999995	65.93030999999995
427	15287	bleu	207.64	659510.7399999995	65.95107399999995
428	100772	propre	207.5	659718.2399999995	65.97182399999996
429	119886	serrer	207.5	659925.7399999995	65.99257399999995
430	118018	sang	207.3	660133.0399999996	66.01330399999996
431	121831	soudain	207.3	660340.3399999996	66.03403399999996
432	77832	lorsque	207.09	660547.4299999996	66.05474299999996
433	23558	chef	205.95	660753.3799999995	66.07533799999996
434	27960	compter	203.72	660957.0999999995	66.09570999999995
435	97341	plusieurs	203.58	661160.6799999996	66.11606799999993
436	78897	madame	203.45	661364.1299999994	66.13641299999995
437	91892	papier	203.11	661567.2399999994	66.15672399999994
438	131033	travailler	202.7	661769.9399999994	66.17699399999994
439	109365	remettre	202.5	661972.4399999994	66.19724399999993
440	78158	lui-même	202.3	662174.7399999994	66.21747399999994
441	105865	rappeler	202.23	662376.9699999994	66.23769699999994
442	82820	minute	201.42	662578.3899999994	66.25783899999995
443	131092	traverser	200.81	662779.1999999995	66.27791999999995
444	81253	mauvais	200.61	662979.8099999995	66.29798099999995
445	116180	répéter	200.14	663179.9499999995	66.31799499999995
446	133530	une	199.93	663379.8799999995	66.33798799999995
447	26431	coin	199.26	663579.1399999995	66.35791399999995
448	32087	couleur	198.72	663777.8599999995	66.37778599999996
449	41202	découvrir	198.18	663976.0399999996	66.39760399999996
450	74702	journal	197.7	664173.7399999995	66.41737399999995
451	79955	manquer	197.64	664371.3799999995	66.43713799999995
452	119499	semaine	197.5	664568.8799999995	66.45688799999995
453	21991	cause	197.3	664766.1799999996	66.47661799999996
454	55883	fermer	197.16	664963.3399999996	66.49633399999996
455	89522	oh	197.09	665160.4299999996	66.51604299999995
456	122689	souvenir	197.03	665357.4599999996	66.53574599999996
457	65871	haut	196.76	665554.2199999996	66.55542199999996
458	31926	coucher	196.22	665750.4399999996	66.57504399999996
459	7694	approcher	196.15	665946.5899999996	66.59465899999996
460	89278	odeur	195.68	666142.2699999997	66.61422699999997
461	11432	avancer	195.0	666337.2699999997	66.63372699999996
462	8343	argent	194.39	666531.6599999997	66.65316599999997
463	130079	toute	194.26	666725.9199999997	66.67259199999997
464	90321	oreille	194.12	666920.0399999997	66.69200399999997
465	79268	mal	193.92	667113.9599999997	66.71139599999998
466	47022	effet	192.36	667306.3199999997	66.73063199999997
467	79397	malgré	191.55	667497.8699999998	66.74978699999997
468	129720	toucher	190.27	667688.1399999998	66.76881399999998
469	66118	heureux	190.0	667878.1399999998	66.78781399999998
470	11022	aussitôt	189.93	668068.0699999997	66.80680699999998
471	95583	pierre	189.86	668257.9299999998	66.82579299999998
472	68196	image	188.92	668446.85	66.84468499999998
473	109798	rencontrer	188.51	668635.3599999999	66.86353599999998
474	22523	chacun	187.84	668823.1999999997	66.88231999999998
475	93665	peau	187.77	669010.97	66.90109699999998
476	93513	pauvre	187.77	669198.7399999999	66.919874
477	13520	bas	187.09	669385.8299999997	66.93858299999998
478	135485	vieux	185.81	669571.6399999999	66.95716399999999
479	74183	jardin	185.81	669757.45	66.97574499999999
480	88017	nouveau	185.61	669943.0599999999	66.99430600000001
481	99111	pourquoi	185.54	670128.6	67.01286
482	76086	laquelle	185.27	670313.87	67.031387
483	23891	chien	184.59	670498.46	67.049846
484	94432	permettre	184.19	670682.6499999999	67.068265
485	132908	type	184.19	670866.84	67.08668399999999
486	37162	disparaître	183.31	671050.1499999999	67.10501500000001
487	84805	mouvement	182.97	671233.1199999999	67.12331199999998
488	22407	certain	182.64	671415.7599999999	67.14157599999999
489	13692	battre	182.36	671598.1199999999	67.15981199999999
490	19364	cacher	181.89	671780.0099999999	67.178001
491	10815	aucun	180.95	671960.9599999997	67.19609599999998
492	60661	gagner	180.88	672141.84	67.21418399999999
493	136613	vos	180.27	672322.1099999999	67.23221099999999
494	92896	partout	179.39	672501.4999999999	67.25014999999999
495	74719	journée	179.39	672680.8899999999	67.26808899999999
496	23683	cheval	179.26	672860.1499999999	67.28601499999999
497	92632	parole	178.31	673038.46	67.303846
498	22459	cesser	177.77	673216.23	67.321623
499	51766	envoyer	177.64	673393.87	67.339387
500	87205	nez	177.64	673571.51	67.357151
501	19612	café	177.3	673748.81	67.374881
502	32378	cours	176.76	673925.5700000001	67.39255700000001
503	58082	forme	176.69	674102.26	67.410226
504	47269	eh	176.62	674278.88	67.427888
505	10786	au-dessus	176.35	674455.23	67.445523
506	134061	valoir	175.74	674630.97	67.46309699999999
507	10817	aucune	174.73	674805.7	67.48057
508	117317	sac	174.26	674979.96	67.497996
509	99407	premier	173.92	675153.88	67.515388
510	74403	jeu	173.31	675327.1900000001	67.532719
511	68854	importer	173.11	675500.3	67.55003
